,dealcounts,dealsizeusdmn,seed_founding,firstrounds_founding,has_ipo,ipo_value,has_tradesale,tradesale_value,name,Strat_score,score_year,incyear,portfoliocompanycity,portfoliocompanystatecounty
138086,10,6.62,2.0,2.0,0.0,0.0,1.0,0.0,"Peerform, Inc.",0.8934418592560652,2010,2010,New York,NY
138093,9,75.0,0.0,75.0,0.0,0.0,0.0,0.0,ReversingLabs US Inc.,0.9230652345092356,2009,2009,Cambridge,MA
138099,5,15.3,2.8,12.8,0.0,0.0,0.0,0.0,"Move Loot, Inc.",0.8029216139698943,2013,2013,San Francisco,CA
138100,3,14.5,0.0,14.5,0.0,0.0,1.0,0.0,Flatiron School LLC,0.7934419903156531,2012,2012,New York,NY
138101,8,24.65,3.05,18.950000000000006,0.0,0.0,0.0,0.0,"RxREVU, Inc.",0.8459948826175406,2013,2013,Denver,CO
138129,7,327.0,0.0,112.0,0.0,0.0,1.0,155.0,Earnest LLC,0.9042895705448416,2013,2013,San Francisco,CA
138159,3,13.5,2.5,13.5,0.0,0.0,0.0,0.0,"SpoonRocket, Inc.",0.8848724922297038,2013,2013,Berkeley,CA
138165,7,473.5,0.0,273.5,0.0,0.0,0.0,0.0,"Fundbox, Inc.",0.8763231887887504,2013,2013,San Francisco,CA
138179,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Kngine,0.8942754625992467,2008,2008,San Mateo,CA
138297,12,67.19999999999999,0.0,60.0,0.0,0.0,0.0,0.0,Athenium Analytics,0.8244104744098587,2012,2012,Washington,DC
138375,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Chubbies Shorts,0.9360973384954162,2011,2011,San Francisco,CA
138486,2,5.0,0.0,5.0,0.0,0.0,1.0,0.0,Manicube,0.9124493956393211,2012,2012,New York,NY
138665,6,4.0,4.0,4.0,0.0,0.0,1.0,0.0,"Talkwheel.com, Inc.",0.8500269624902381,2011,2011,San Francisco,CA
138683,8,66.0,4.0,46.0,0.0,0.0,0.0,0.0,"Beckon, Inc.",0.8816778946037285,2013,2013,San Mateo,CA
138903,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Swychd Inc,0.8024290343190257,2013,2013,New York,NY
138906,7,41.5,1.6,1.6,0.0,0.0,1.0,0.0,"CrowdRise, Inc.",0.9012922080123854,2010,2010,Royal Oak,MI
138909,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kite.io,0.8840668049964432,2013,2013,San Francisco,CA
138973,18,20.22,5.999999999999999,18.0,0.0,0.0,0.0,0.0,"Utrip, Inc.",0.8706844290645701,2012,2012,Seattle,WA
138976,4,22.3,0.0,20.0,0.0,0.0,0.0,0.0,"CB Information Services, Inc.",0.8295975389752709,2009,2009,New York,NY
138981,3,57.5,2.5,57.5,0.0,0.0,0.0,0.0,YuppTV Inc.,0.5328071535722471,2007,2007,Alpharetta,GA
139061,15,36.03,9.0,20.4,0.0,0.0,0.0,0.0,"Xapp Media, Inc.",0.8638263111252984,2012,2012,Washington,DC
139088,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Keona Health, Inc.",0.8744224323018457,2011,2011,Chapel Hill,NC
139098,14,106.5,3.7,101.5,0.0,0.0,0.0,0.0,Owlet Baby Care Inc.,0.7976545211630306,2013,2013,Lehi,UT
139121,2,40.0,0.0,40.0,0.0,0.0,1.0,0.0,3GUpload,0.8362697653993545,2003,2003,Seattle,WA
139248,4,251.5,0.0,0.0,0.0,0.0,0.0,0.0,"Cove Financial Group, Inc.",0.8195649682534889,2012,2012,Irvine,CA
139346,4,104.95,0.0,104.95,0.0,0.0,0.0,0.0,SirionLabs Inc.,0.8744161885995471,2012,2012,New York,NY
139554,9,0.12,0.12,0.12,0.0,0.0,1.0,0.0,Mezzobit Inc.,0.8202860396337588,2013,2013,New York,NY
139582,6,80.0,0.0,80.0,0.0,0.0,1.0,230.0,TeleSign Corporation,0.8778837988413679,2004,2004,Marina del Rey,CA
139593,12,32.85,0.0,11.85,0.0,0.0,0.0,0.0,"CommercialTribe, Inc.",0.9076983931862628,2013,2013,Denver,CO
139670,8,198.0,0.0,198.0,0.0,0.0,1.0,420.0,"CloudGenix, Inc.",0.7482317862440684,2013,2013,San Jose,CA
